    Question,Answer
"When are varsity tryouts usually held?","Tryouts for varsity teams typically happen in July or August at the start of the academic year. Official schedules are posted by the Sports Development Office and on the Student Portal."
"When are intramural tryouts scheduled?","Intramural tryouts and team registration happen in September. Updates are shared via student organizations and the university’s Facebook page. :contentReference[oaicite:1]{index=1}"
"What varsity teams are offered at DHVSU Bacolor?","DHVSU supports varsity teams in Basketball (Men/Women), Volleyball (Men/Women), Football, Athletics (Track & Field), Chess, Badminton, Sepak Takraw, Table Tennis, and Taekwondo. :contentReference[oaicite:2]{index=2}"
"What sports facilities are available on campus?","Facilities include the FIBA-certified Dr. Ernesto T. Nicdao Sports Center, Olympic-size pool, two-storey fitness center, PE courts, and athletics track. :contentReference[oaicite:3]{index=3}"
"When was the gym upgraded to international standards?","Gym upgrades, including wooden flooring and ventilation improvements, were made in 2019. :contentReference[oaicite:4]{index=4}"
"Does the university host PBA games at the campus gym?","Yes—the DHVSU gym has hosted Philippine Cup finals and semifinals in previous years. :contentReference[oaicite:5]{index=5}"
"How do I join an intramural team?","Register at the Sports Development Office during sign-up periods—fill out forms, get your coach’s signature, and there are no participation fees."
"When are intramural events held?","Intramurals typically occur in October—for instance, the 2024 intramurals were from October 9–13. :contentReference[oaicite:6]{index=6}"
"What are the major sports events at DHVSU?","Major events include annual Intramurals, SUC III Olympics, SCUFAR Festival, UCLAA Region III tournaments, and regional invitational meets. :contentReference[oaicite:7]{index=7}"
"What is the SUC III Olympics?","A multi-sport competition among Region III state universities and colleges held annually, usually in November–December. :contentReference[oaicite:8]{index=8}"
"When is the SCUFAR Festival held?","The SCUFAR Festival usually takes place in February and features both sports and cultural competitions. :contentReference[oaicite:9]{index=9}"
"When did DHVSU host UCLAA Region III tournaments?","DHVSU hosted the UCLAA Region III tournament in 2024 after several years of hiatus. :contentReference[oaicite:10]{index=10}"
"How many medals did DHVSU win at SUC III Olympics 2025?","DHVSU won 88 medals—19 gold, 30 silver, and 39 bronze—placing as 7th runner-up overall. :contentReference[oaicite:11]{index=11}"
"What was the theme of Intramurals 2024?","Intramurals 2024 carried the theme “Honing Honorians by Building Resilience, Leadership, and Teamwork through Sports.” :contentReference[oaicite:12]{index=12}"
"When did the 2024 Intramurals take place?","They were held on December 5–9, 2024 at the campus grounds. :contentReference[oaicite:13]{index=13}"
"Who leads the Sports Development Office?","The office is headed by Dr. Normando C. Simon, DBA, supported by Rexan F. Cunan as Assistant Sports Director and Gym Manager. :contentReference[oaicite:14]{index=14}"
"What is the office’s email and contact info?","Email: sportsdevelopment@dhvsu.edu.ph • Phone: (045) 649 8050 • Office is at G/F, Dr. Ernesto T. Nicdao Sports Center. :contentReference[oaicite:15]{index=15}"
"Which athletic associations is DHVSU part of?","DHVSU is affiliated with SCUAA, UCLAA, and UCAAP for regional and national competitions. :contentReference[oaicite:16]{index=16}"
"Who is eligible to try out for varsity teams?","Any enrolled student may try out—eligibility depends on fitness, academic standing, and coach selection."
"What are the requirements for varsity tryouts?","Students must pass physical fitness tests, meet minimum academic standards, and commit to regular training and competitions."
"What should I wear to tryouts?","Wear sportswear appropriate for the activity, bring water, extra apparel, and follow sport-specific gear instructions."
"How are varsity team members announced?","Selections are posted at the Sports Office and Student Portal, and announced via campus notice boards or direct communication."
"Can I switch intramural teams after registration?","No—team switches aren’t allowed after registration closes unless approved by the Sports Development Director."
"Are there sports clinics available?","Yes, periodic skill development clinics (e.g., for volleyball, basketball) are organized before tournaments—posted by the Sports Office."
"Are fitness programs open to students?","Yes—year-round fitness classes and gym access are offered free through the campus fitness center."
"Are athletic scholarships available?","Yes—top varsity athletes may receive athletic scholarships coordinated through Academic Affairs."
"Can spectators attend varsity games?","Yes—students and guests may attend varsity games unless specific restrictions apply."
